estado,Marque todas las plataformas,¿Cuál es la naturaleza legal,¿Cuáles son las temáticas,¿Cuáles son las fuentes de ingresos,¿El proyecto u organización periodística que refiere ha enfrentado
Carabobo,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, Radio (AM o FM)",Estatal,"Arte y cultura local, Deporte local, Economía y desarrollo local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Fondos gubernamentales,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Radio (AM o FM), TV transmitida vía web",Comunitario,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Donaciones de empresas, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Cuenta en Instagram, Cuenta en Facebook, Radio (AM o FM), Radio transmitida vía web",Comunitario,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en Youtube, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura)"
Carabobo,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Periodismo cara a cara, Podcast, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web, TV transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Publicidad","Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Carabobo,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Portal web de noticias",Comunitario,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,"Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Carabobo,"Cuenta en Instagram, TV (señal abierta o cable)",Privado,"Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Publicidad, No hay ninguna fuente de ingresos","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Carabobo,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Portal web de noticias, Likedin",Privado,"Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Carabobo,"Cuenta en Instagram, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Fondos gubernamentales, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local","Contenidos puntuales patrocinados, Fondos gubernamentales, Publicidad","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Carabobo,Radio (AM o FM),Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Carabobo,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en Youtube, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en Youtube, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Donaciones de empresas, Eventos, Fondos gubernamentales, Publicidad",Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Carabobo,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Youtube, Periodismo cara a cara, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web",Proyecto u organización sin figura jurídica,"Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Publicidad","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Carabobo,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en Youtube, Periodismo cara a cara, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Carabobo,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Eventos, Publicidad","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Carabobo,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Radio (AM o FM)",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Fondos gubernamentales, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Cuenta en Instagram, Cuenta en Youtube, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Carabobo,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Eventos, Fondos gubernamentales, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Cuenta en Instagram, Cuenta en Facebook, Portal web de noticias",Privado,"Arte y cultura local, Economía y desarrollo local, Temas empresariales, nuevas marcas, lanzamientos","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Portal web de noticias",Privado,"Arte y cultura local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Donaciones de empresas, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en Youtube, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Cuenta en Instagram, Cuenta en X, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Donaciones de empresas, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias",Privado,Arte y cultura local,"Aportes monetarios de los fundadores y/o el equipo, Fondos gubernamentales, Publicidad",No ha enfrentado este tipo de situaciones
Carabobo,Cuenta en Instagram,Privado,"Arte y cultura local, Economía y desarrollo local","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Cuenta en Instagram, Cuenta en TikTok",Privado,"Arte y cultura local, Economía y desarrollo local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en Youtube, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local",Publicidad,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Carabobo,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, TV (señal abierta o cable)",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Carabobo,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en Youtube, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Donaciones de empresas, Publicidad, Venta de productos y servicios",No ha enfrentado este tipo de situaciones
Carabobo,"Cuenta en Instagram, Cuenta en Facebook, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Cuenta en Instagram, Portal web de noticias",Proyecto u organización sin figura jurídica,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periódico (impreso), Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Fondos gubernamentales, Publicidad","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura)"
Carabobo,"Cuenta en Instagram, Cuenta en Facebook, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Donaciones de empresas, Fondos gubernamentales, Publicidad","Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Carabobo,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, TV (señal abierta o cable)",Privado,"Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Carabobo,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, TV (señal abierta o cable), TV transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Carabobo,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Radio (AM o FM), Radio transmitida vía web",Privado,"Arte y cultura local, Deporte local, Entretenimiento","Contenidos puntuales patrocinados, Eventos, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Carabobo,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Cuenta en Youtube, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Fondos gubernamentales, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Cojedes,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Portal web de noticias",Proyecto u organización sin figura jurídica,"Investigación y vigilancia al poder, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos), Derechos humanos.","Aportes monetarios de los fundadores y/o el equipo, Donaciones de empresas, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Cojedes,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periodismo cara a cara, Podcast, Portal web de noticias, Radio (AM o FM)",Privado,"Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Publicidad","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura)"
Cojedes,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en X",Proyecto u organización sin figura jurídica,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Cojedes,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en TikTok, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Temas sociales locales (como salud, educación, transporte, servicios públicos), Iglesia catolica",Publicidad,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Cojedes,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok",Proyecto u organización sin figura jurídica,"Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No hay ninguna fuente de ingresos,Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Cojedes,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Portal web de noticias, Radio (AM o FM)",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Publicidad, Talleres / Capacitaciones",No ha enfrentado este tipo de situaciones
Cojedes,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, TV (señal abierta o cable)",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",No se maneja esta información
Cojedes,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en Youtube, Radio (AM o FM), Radio transmitida vía web, TV transmitida vía web",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Cojedes,Portal web de noticias,Estatal,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Fondos gubernamentales,No se maneja esta información
Cojedes,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en TikTok, Cuenta en X",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Cojedes,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en Youtube, Radio (AM o FM), TV (señal abierta o cable)",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Cojedes,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Cojedes,"Cuenta en Instagram, Radio (AM o FM), Radio transmitida vía web",Radio religiosa,"Arte y cultura local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Cojedes,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, TV (señal abierta o cable), TV transmitida vía web",Estatal,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Fondos gubernamentales, Publicidad",No se maneja esta información
Cojedes,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, TV (señal abierta o cable), TV transmitida vía web",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",No se maneja esta información
Cojedes,"Cuenta en Instagram, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Cojedes,"Cuenta en Instagram, Radio (AM o FM), Radio transmitida vía web",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)",No se maneja esta información,No se maneja esta información
Delta Amacuro,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Portal web de noticias",Proyecto u organización sin figura jurídica,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Delta Amacuro,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Cuenta en Youtube, TV transmitida vía web",Privado,"Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Subvenciones o financiamiento internacional, Publicidad",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Delta Amacuro,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periodismo cara a cara, Portal web de noticias","Organización sin fines de lucro (asociación civil, fundación, ONG)","Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Subvenciones o financiamiento internacional, Publicidad",Prefiere no responder
Delta Amacuro,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Periodismo cara a cara, Portal web de noticias",Privado,"Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, No hay ninguna fuente de ingresos",No ha enfrentado este tipo de situaciones
Delta Amacuro,"Cuenta en Instagram, Radio (AM o FM), Radio transmitida vía web",Privado,"Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No ha enfrentado este tipo de situaciones
Delta Amacuro,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube",No se maneja esta información,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,"Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Delta Amacuro,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Facebook, Cuenta en TikTok, Portal web de noticias, Radio (AM o FM)","Organización sin fines de lucro (asociación civil, fundación, ONG)","Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Fondos gubernamentales, Publicidad, Venta de productos y servicios",Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Delta Amacuro,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en Youtube, Portal web de noticias",Privado,"Gobierno y política local, Sucesos, seguridad y convivencia ciudadana",Publicidad,"Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
